,decision,draws,losses,wins,opponent_wins,opponent_losses,opponent_draws,Height_Difference,Age_Difference
6,Loss,0,0,26,23,0,0,2.0,-5.0
7,Loss,0,0,26,23,0,0,2.0,-5.0
8,Win,1,3,10,10,2,1,5.0,-2.0
9,Win,1,3,10,10,2,1,5.0,-2.0
10,Win,1,3,10,10,2,1,5.0,-2.0
11,Win,1,3,10,10,2,1,5.0,-2.0
12,Win,0,7,15,15,6,0,-4.0,-1.0
13,Win,0,7,15,15,6,0,-4.0,-1.0
14,Win,0,9,21,19,3,0,1.0,-3.0
15,Win,0,9,21,19,3,0,1.0,-3.0
16,Win,0,9,21,19,3,0,1.0,-3.0
17,Win,0,9,21,19,3,0,1.0,-3.0
20,Win,2,16,33,27,6,1,0.0,-7.0
21,Win,2,16,33,27,6,1,0.0,-7.0
26,Win,3,11,21,18,3,3,-3.0,-5.0
27,Win,3,11,21,18,3,3,-3.0,-5.0
38,Win,0,4,14,13,3,0,9.0,-2.0
39,Win,0,4,14,13,3,0,9.0,-2.0
63,Loss,0,1,39,35,0,0,-5.0,4.0
64,Win,1,6,23,21,2,1,-3.0,3.0
77,Loss,0,0,11,10,0,0,-5.0,1.0
78,Loss,0,13,62,44,11,0,5.0,-5.0
95,Win,1,11,22,18,5,1,-2.0,1.0
96,Win,1,11,22,18,5,1,-2.0,1.0
97,Win,4,15,35,18,6,3,3.0,-2.0
98,Win,4,15,35,18,6,3,3.0,-2.0
99,Win,1,8,35,27,3,1,-2.0,-3.0
100,Win,1,8,35,27,3,1,-2.0,-3.0
101,Win,1,5,47,47,4,1,3.0,-4.0
102,Win,1,5,47,47,4,1,3.0,-4.0
103,Loss,1,5,47,44,4,1,3.0,-4.0
104,Loss,1,5,47,44,4,1,3.0,-4.0
105,Win,1,5,47,47,4,1,3.0,-4.0
106,Win,1,5,47,47,4,1,3.0,-4.0
107,Loss,1,5,47,44,4,1,3.0,-4.0
108,Loss,1,5,47,44,4,1,3.0,-4.0
109,Win,0,5,37,29,0,0,5.0,-2.0
110,Win,0,5,37,29,0,0,5.0,-2.0
111,Win,0,5,37,29,0,0,5.0,-2.0
112,Win,0,5,37,29,0,0,5.0,-2.0
113,Win,0,5,37,29,0,0,5.0,-2.0
114,Win,0,5,37,29,0,0,5.0,-2.0
115,Win,2,4,28,28,3,2,-7.0,3.0
116,Win,2,4,28,28,3,2,-7.0,3.0
117,Win,1,14,6,6,2,1,-7.0,0.0
118,Win,1,14,6,6,2,1,-7.0,0.0
119,Win,2,59,63,38,23,1,-5.0,-4.0
120,Win,2,59,63,38,23,1,-5.0,-4.0
121,Win,2,3,16,16,1,2,-2.0,-5.0
122,Win,2,3,16,16,1,2,-2.0,-5.0
123,Loss,1,14,39,31,5,1,8.0,-3.0
124,Loss,1,14,39,31,5,1,8.0,-3.0
127,Loss,0,1,9,7,0,0,10.0,4.0
128,Loss,0,1,9,7,0,0,10.0,4.0
129,Win,1,8,48,40,7,1,8.0,-11.0
130,Win,1,8,48,40,7,1,8.0,-11.0
133,Win,1,12,18,10,3,0,5.0,2.0
134,Win,1,12,18,10,3,0,5.0,2.0
137,Loss,1,14,39,37,7,1,5.0,-6.0
138,Win,4,15,13,10,13,4,7.0,-6.0
139,Win,4,15,13,10,13,4,7.0,-6.0
140,Win,4,15,13,10,13,4,7.0,-6.0
141,Loss,4,4,19,18,4,3,0.0,-4.0
142,Win,0,17,9,9,11,0,7.0,-6.0
143,Loss,1,14,39,27,5,1,-5.0,0.0
144,Win,2,18,14,11,12,1,-10.0,5.0
145,Loss,0,4,29,21,0,0,-5.0,4.0
146,Win,4,8,7,7,7,4,-5.0,4.0
147,Loss,2,0,8,6,0,2,-14.0,11.0
148,Win,2,25,21,20,23,2,0.0,-1.0
